Anne;4-10 ans;11-14 ans;4-14 ans;15-24 ans;25-59 ans;25-34 ans;35-49 ans;15-49 ans;50 ans et plus;;;;;;
1998;1h58';2h17';;2h12';;2h57';2h59';;4h03';;;;;;
1999;2h02';2h21';;2h11';;3h03';3h01';;4h02';;;;;;
2000;2h05';2h21';;2h05';3h14';;;;;;;;;;
2001;2h11';2h24';;2h08';3h19';;;;;;;;;;
2002;2h14';2h25';;2h10';3h22';;;;;;;;;;
2003;2h11';2h23';;2h02';3h23';;;;;;;;;;
2004;2h10';2h17';;2h07';3h29';;;;;;;;;;
2005;2h10';2h14';;2h05';3h30';;;;;;;;;;
2006;2h07';2h05';;1h58';3h29';;;;;;;;;;
2007;2h13';2h11';;2h02';3h30';;;;;;;;;;
2008;2h13';2h09';;1h53';3h27';;;;;;;;;;
2009;;;2h11';;;;;2h59';4h26';;;;;;
2010;;;2h12';;;;;3h05';4h34';;;;;;
2011;;;2h18';;;;;3h16';4h59';;;;;;
2012;;;2h15';;;;;3h19';5h02';;;;;;
2013;;;2h09';;;;;3h11';5h02';;;;;;
2014;;;1h58';;;;;3h03';5h02';;;;;;
2015;;;1h56';;;;;3h02';5h07';;;;;;
2016;;;1h53';;;;;3h01';5h07';;;;;;
2017;;;1h46';;;;;2h54';5h12';;;;;;
2018;;;1h39';;;;;2h42';5h13';;;;;;
2019;;;1h28';;;;;2h30';5h12';;;;;;
2020;;;1h28';;;;;2h46';5h46';;;;;;
2021;;;1h10';;;;;2h25';5h38';;;;;;
2022;;;1h01';;;;;2h06';5h23';;;;;;
2023;;;0h58';;;;;1h55';5h16';;;;;;
2024;;;;;;;;nd;;;;;;;
