Année,Chaîne,Part d'audience
1989,TF1,"41,0"
1990,TF1,"41,9"
1991,TF1,"42,1"
1992,TF1,"41,0"
1993,TF1,"41,0"
1994,TF1,"39,5"
1995,TF1,"37,3"
1996,TF1,"35,4"
1997,TF1,"35,0"
1998,TF1,"35,3"
1999,TF1,"35,1"
2000,TF1,"33,4"
2001,TF1,"32,7"
2002,TF1,"32,7"
2003,TF1,"31,5"
2004,TF1,"31,8"
2005,TF1,"32,3"
2006,TF1,"31,6"
2007,TF1,"30,7"
2008,TF1,"27,2"
2009,TF1,"26,1"
2010,TF1,"24,5"
2011,TF1,"23,7"
2012,TF1,"22,7"
2013,TF1,"22,8"
2014,TF1,"22,9"
2015,TF1,"21,4"
2016,TF1,"20,4"
2017,TF1,"20,0"
2018,TF1,"20,2"
2019,TF1,"19,5"
2020,TF1,"19,2"
2021,TF1,"19,7"
2022,TF1,"18,7"
2023,TF1,"18,6"
2024,TF1,"18,7"
1989,France 2,"23,4"
1990,France 2,"22,1"
1991,France 2,"21,3"
1992,France 2,"24,0"
1993,France 2,"24,7"
1994,France 2,"25,0"
1995,France 2,"23,8"
1996,France 2,"24,2"
1997,France 2,"23,7"
1998,France 2,"22,5"
1999,France 2,"22,3"
2000,France 2,"22,1"
2001,France 2,"21,1"
2002,France 2,"20,8"
2003,France 2,"20,5"
2004,France 2,"20,5"
2005,France 2,"19,8"
2006,France 2,"19,2"
2007,France 2,"18,1"
2008,France 2,"17,5"
2009,France 2,"16,7"
2010,France 2,"16,1"
2011,France 2,"14,9"
2012,France 2,"14,9"
2013,France 2,"14,0"
2014,France 2,"14,1"
2015,France 2,"14,3"
2016,France 2,"13,4"
2017,France 2,"13,0"
2018,France 2,"13,5"
2019,France 2,"13,9"
2020,France 2,"14,1"
2021,France 2,"14,7"
2022,France 2,"14,8"
2023,France 2,"15,3"
2024,France 2,"15,8"
1989,France 3,"10,3"
1990,France 3,"11,0"
1991,France 3,"11,3"
1992,France 3,"13,6"
1993,France 3,"14,6"
1994,France 3,"15,7"
1995,France 3,"17,6"
1996,France 3,"17,7"
1997,France 3,"17,1"
1998,France 3,"17,0"
1999,France 3,"16,3"
2000,France 3,"16,8"
2001,France 3,"17,1"
2002,France 3,"16,4"
2003,France 3,"16,1"
2004,France 3,"15,2"
2005,France 3,"14,7"
2006,France 3,"14,7"
2007,France 3,"14,1"
2008,France 3,"13,3"
2009,France 3,"11,8"
2010,France 3,"10,7"
2011,France 3,"9,7"
2012,France 3,"9,7"
2013,France 3,"9,5"
2014,France 3,"9,4"
2015,France 3,"9,2"
2016,France 3,"9,1"
2017,France 3,"9,1"
2018,France 3,"9,4"
2019,France 3,"9,3"
2020,France 3,"9,4"
2021,France 3,"9,4"
2022,France 3,"9,4"
2023,France 3,"9,0"
2024,France 3,"8,9"
1989,Canal+,"4,4"
1990,Canal+,"4,3"
1991,Canal+,"4,6"
1992,Canal+,"5,0"
1993,Canal+,"4,9"
1994,Canal+,"4,6"
1995,Canal+,"4,4"
1996,Canal+,"4,5"
1997,Canal+,"4,5"
1998,Canal+,"4,6"
1999,Canal+,"4,5"
2000,Canal+,"4,1"
2001,Canal+,"3,6"
2002,Canal+,"3,5"
2003,Canal+,"3,7"
2004,Canal+,"3,8"
2005,Canal+,"3,6"
2006,Canal+,"3,4"
2007,Canal+,"3,4"
2008,Canal+,"3,3"
2009,Canal+,"3,1"
2010,Canal+,"3,1"
2011,Canal+,"3,1"
2012,Canal+,"2,9"
2013,Canal+,"2,8"
2014,Canal+,"2,6"
2015,Canal+,"2,6"
2016,Canal+,"1,7"
2017,Canal+,"1,2"
2018,Canal+,"1,2"
2019,Canal+,"1,3"
2020,Canal+,"1,2"
2021,Canal+,"1,1"
2022,Canal+,"1,2"
2023,Canal+,"1,2"
2024,Canal+,"1,3"
1989,La 5,"13,0"
1990,La 5,"11,7"
1991,La 5,"10,9"
1992,La 5,
1993,La 5,
1994,La 5,
1995,La 5,
1996,La 5,
1997,La 5,
1998,La 5,
1999,La 5,
2000,La 5,
2001,La 5,
2002,La 5,
2003,La 5,
2004,La 5,
2005,La 5,
2006,La 5,
2007,La 5,
2008,La 5,
2009,La 5,
2010,La 5,
2011,La 5,
2012,La 5,
2013,La 5,
2014,La 5,
2015,La 5,
2016,La 5,
2017,La 5,
2018,La 5,
2019,La 5,
2020,La 5,
2021,La 5,
2022,La 5,
2023,La 5,
2024,La 5,
1989,France 5,
1990,France 5,
1991,France 5,
1992,France 5,
1993,France 5,
1994,France 5,
1995,France 5,"1,3"
1996,France 5,"1,6"
1997,France 5,"1,8"
1998,France 5,"1,9"
